umap_x,umap_y,true_label,kmeans_label,spectral_label
9.391348,8.072062,5,0,0
7.897768,10.803831,5,3,3
11.436263,9.840108,5,3,0
11.171745,9.100085,5,3,0
10.071761,9.842451,5,3,0
10.092989,9.757739,5,3,0
7.3844223,9.896552,5,3,3
5.9787283,5.263193,5,5,1
11.792674,10.111157,5,3,5
12.31851,8.254848,5,1,2
10.55589,12.334899,5,3,5
10.193674,11.649745,5,3,5
12.685014,7.0988584,5,1,2
12.630849,7.2223372,5,1,2
12.347583,7.4302697,5,1,2
5.753607,5.5916348,5,0,1
4.495664,7.3246293,5,0,4
4.606697,7.3306637,5,0,4
10.444101,12.359317,5,3,5
10.856835,8.278247,5,1,0
10.384231,7.382921,5,1,0
10.4160385,7.383488,5,1,0
10.442325,7.344499,5,1,0
10.317413,7.414282,5,1,0
10.346606,7.435804,5,1,0
10.533733,7.4545846,5,1,0
10.278467,7.6264544,5,1,0
8.1444,10.399899,5,3,3
8.223204,10.329047,5,3,3
11.87047,7.731133,5,1,2
8.035746,8.569251,5,0,0
8.14307,8.4333,5,0,0
9.136954,8.138651,5,0,0
10.765765,12.017243,5,3,5
10.69792,9.676173,5,3,0
6.786205,6.539316,5,0,1
6.952603,6.579284,5,0,1
10.422027,11.938383,5,3,5
11.747833,9.444771,5,3,0
8.882932,10.0588045,5,3,3
5.6633863,7.0744944,5,0,1
5.2365494,6.8434362,5,0,1
5.297593,6.7395754,5,0,1
5.2851624,6.7847834,5,0,1
5.24639,6.751942,5,0,1
5.097064,6.859136,5,0,4
11.899701,8.950503,5,1,0
12.056022,8.287324,5,1,2
11.634979,7.787237,5,1,2
10.596292,12.221892,5,3,5
7.7690754,7.6084595,5,3,3
7.5311947,8.715387,5,0,4
8.968608,11.659862,5,3,3
8.94526,11.4676895,5,3,3
10.483088,12.356079,5,3,5
9.665114,10.737262,5,3,3
11.049053,11.600644,5,3,5
8.370867,11.527912,5,3,3
9.855997,11.342651,5,3,5
11.02779,11.601792,5,3,5
10.598482,12.188366,5,3,5
12.269057,7.6812334,5,1,2
12.328315,7.812998,5,1,2
11.884639,9.037686,5,1,0
11.862521,9.727698,5,3,0
11.679397,10.0878105,5,3,0
11.910791,8.259365,5,1,2
6.457529,6.711409,5,0,1
10.947661,8.874484,5,3,0
11.508159,8.831506,5,3,0
4.73485,7.2988596,5,0,4
12.5195265,7.3067055,5,1,2
10.601024,7.496353,5,1,0
10.642925,7.467946,5,1,0
11.617422,10.341965,5,3,5
11.334125,10.671278,5,3,5
11.502913,10.507056,5,3,5
11.55937,10.508551,5,3,5
9.822356,10.359002,5,3,5
11.570812,10.493178,5,3,5
9.245505,8.546541,5,3,0
11.098992,9.4382305,5,3,0
11.450809,9.31876,5,3,0
10.4254055,7.6911664,5,1,0
10.433289,7.8651023,5,3,0
12.406845,7.5641255,5,1,2
12.419726,7.308555,5,1,2
4.5705304,7.197769,5,0,4
9.855484,7.784651,5,0,0
12.475406,7.2933664,5,1,2
10.553716,7.708344,5,1,0
10.354545,7.816394,5,1,0
12.667873,7.62243,5,1,2
9.88302,8.622485,5,3,0
9.70354,8.686985,5,3,0
11.652551,10.461827,5,3,5
8.644086,10.1429615,5,3,3
7.6698823,7.7346783,5,3,3
7.684559,7.366978,5,3,3
10.51795,12.320993,5,3,5
6.4341793,6.159597,4,0,1
6.014637,6.3109684,4,0,1
5.3893843,5.678315,4,0,1
8.058179,9.401907,4,3,3
7.802246,9.318018,4,3,3
11.41238,10.70895,4,3,5
8.278045,7.8546777,4,0,0
8.186184,7.8507867,4,0,0
8.173724,7.7333574,4,3,0
11.332287,10.85094,4,3,5
11.062848,9.280614,4,3,0
7.076496,5.505684,4,0,1
7.1727133,5.4732413,4,0,1
10.399993,9.268348,4,3,0
10.748585,9.223916,4,3,0
12.479228,7.1601925,4,1,2
6.8642874,5.832623,4,0,1
6.290687,5.210939,4,5,1
11.146487,11.575466,4,3,5
8.269283,11.11812,4,3,3
5.100148,8.779802,4,0,4
9.455667,12.242675,4,3,5
5.8273563,5.3277807,4,0,1
8.8508625,11.919279,4,3,3
8.704563,11.83529,4,3,3
6.540448,8.889787,4,3,3
9.422274,11.898707,4,3,5
6.5248375,9.148108,4,3,3
11.101961,11.540861,4,3,5
11.120236,11.618468,4,3,5
10.447617,10.561645,4,3,5
10.356699,11.467145,4,3,5
10.446721,11.362827,4,3,5
6.140897,8.97666,4,3,3
9.357608,12.187337,4,3,5
10.365817,12.384719,4,3,5
11.579846,10.417641,4,3,5
8.820932,11.4585085,4,3,3
5.1543856,7.7664123,4,0,4
9.60251,11.930782,4,3,5
10.138414,11.69586,4,3,5
9.605109,11.522219,4,3,5
5.7473383,8.865029,4,0,4
10.828782,10.774143,4,3,5
10.061095,10.143552,4,3,5
4.885881,8.48673,4,0,4
5.007998,8.714501,4,0,4
5.1264167,8.863532,4,0,4
5.084705,8.790109,4,0,4
6.7376103,8.814119,4,3,3
8.076034,11.402997,4,3,3
10.360983,12.084768,4,3,5
9.610344,11.907085,4,3,5
10.752188,12.077366,4,3,5
9.215124,11.720634,4,3,3
9.628711,11.92375,4,3,5
10.250018,12.27927,4,3,5
6.666894,8.666409,4,3,1
9.033007,12.057916,4,3,5
7.814135,11.170976,4,3,3
7.939957,11.361119,4,3,3
11.235411,10.346121,4,3,5
11.03591,11.472625,4,3,5
9.372648,11.811536,4,3,3
11.096136,11.442024,4,3,5
11.91918,9.753965,4,3,0
4.864168,8.5210085,4,0,4
6.2329893,6.454264,4,0,1
4.5644727,8.098031,4,0,4
11.729732,9.665082,4,3,0
6.5891047,6.031795,4,0,1
10.662167,9.54202,4,3,0
4.766724,8.087933,4,0,4
6.5515532,6.1554193,4,0,1
11.858253,9.587979,4,3,0
6.3368535,6.416057,4,0,1
4.6574416,7.9059834,4,0,4
4.859477,8.372047,4,0,4
7.028407,7.4872913,4,3,1
7.1297774,7.177063,4,3,1
5.7917695,7.138967,4,0,1
5.474559,7.3200984,4,0,4
4.4638963,7.9860954,4,0,4
4.496331,7.9813285,4,0,4
4.52763,8.242497,4,0,4
11.447445,10.322067,4,3,5
4.7034707,8.155069,4,0,4
9.38603,11.435366,4,3,3
4.456672,7.968436,4,0,4
11.7708845,9.2968445,4,3,0
5.6750007,6.1454115,4,0,1
9.346984,8.688226,4,3,0
11.199858,8.689457,4,3,0
4.5411825,8.060271,4,0,4
6.1932364,6.270853,4,0,1
5.3275414,8.5445795,4,0,4
7.0271883,6.7659426,4,0,1
5.923636,5.4825935,4,0,1
7.2651525,5.3686066,4,1,2
9.540799,8.191281,4,3,0
11.882083,8.351371,0,1,0
11.71661,8.827122,0,3,0
5.9105787,5.5524836,0,0,1
6.079151,5.5243363,0,0,1
7.081475,9.967292,0,3,3
9.456612,10.222705,0,3,3
11.812602,9.251879,0,3,0
9.292694,10.359538,0,3,3
5.84212,5.5982447,0,0,1
9.5710335,9.921987,0,3,3
9.246158,10.22649,0,3,3
9.87311,10.094505,0,3,3
7.1548796,9.996014,0,3,3
7.8239107,10.728086,0,3,3
4.4653697,8.165621,0,0,4
11.785251,9.400399,0,3,0
8.765236,11.800538,0,3,3
4.684356,7.283486,0,0,4
9.53732,9.022423,0,3,0
10.334536,9.794792,0,3,0
7.2716904,7.007435,0,3,1
9.035781,10.617398,0,3,3
11.311887,7.711821,0,1,0
5.1777124,8.4095955,0,0,4
10.224842,10.860119,0,3,5
5.550766,8.76352,0,0,4
5.3419447,8.161353,0,0,4
